PERSON_ID,DISPLAY_LAST_COMMA_FIRST,PLAYER_NAME,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,IS_NBA_ASSIGNED,NBA_ASSIGNED_TEAM_ID,GAMES_PLAYED_FLAG,POSITION,HEIGHT,WEIGHT,SEASON_EXP,BIRTHDATE,COUNTRY,SCHOOL
203831,"Achonwa, Natalie",Natalie Achonwa,1,2015,2023,natalie_achonwa,natalie_achonwa,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Forward,6-3,198,9,1992-11-22T00:00:00,Canada,Notre Dame
1630093,"Alarie, Bella",Bella Alarie,1,2020,2022,bella_alarie,bella_alarie,1611661321,Dallas,Wings,DAL,wings,wings,0,0,Y,Center-Forward,6-4,190,3,1998-04-23T00:00:00,USA,Princeton
1627700,"Allemand, Julie",Julie Allemand,1,2020,2025,julie_allemand,julie_allemand,1611661329,Chicago,Sky,CHI,sky,sky,0,0,Y,Guard,5-8,147,2,1996-07-07T00:00:00,Belgium,Castors Braine
1628263,"Allen, Lindsay",Lindsay Allen,1,2017,2025,lindsay_allen,lindsay_allen,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Guard,5-8,145,7,1995-03-20T00:00:00,USA,Notre Dame
204296,"Allen, Rebecca",Rebecca Allen,1,2015,2025,rebecca_allen,rebecca_allen,1611661313,New York,Liberty,NYL,liberty,liberty,0,0,Y,Forward-Guard,6-2,162,9,1992-11-06T00:00:00,Australia,Melbourne
1628878,"Atkins, Ariel",Ariel Atkins,1,2018,2025,ariel_atkins,ariel_atkins,1611661322,Washington,Mystics,WAS,mystics,mystics,0,0,Y,Guard,5-10,167,7,1996-07-30T00:00:00,USA,University of Texas at Austin
1631022,"Austin, Shakira",Shakira Austin,1,2022,2025,shakira_austin,shakira_austin,1611661322,Washington,Mystics,WAS,mystics,mystics,0,0,Y,Forward-Center,6-5,190,3,2000-07-25T00:00:00,USA,Mississippi
1627671,"Banham, Rachel",Rachel Banham,1,2016,2025,rachel_banham,rachel_banham,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Guard,5-10,181,9,1993-07-15T00:00:00,USA,Minnesota
1631006,"Bell, Kierstan",Kierstan Bell,1,2022,2025,kierstan_bell,kierstan_bell,1611661319,Las Vegas,Aces,LVA,aces,aces,0,0,Y,Forward,6-1,176,3,2000-03-16T00:00:00,USA,Florida Gulf Coast
1628881,"Billings, Monique",Monique Billings,1,2018,2025,monique_billings,monique_billings,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Forward,6-4,192,7,1996-05-02T00:00:00,USA,UCLA
100720,"Bird, Sue",Sue Bird,1,2002,2022,sue_bird,sue_bird,1611661328,Seattle,Storm,SEA,storm,storm,0,0,Y,Guard,5-9,150,19,1980-10-16T00:00:00,USA,Connecticut
201886,"Bonner, DeWanna",DeWanna Bonner,1,2009,2025,dewanna_bonner,dewanna_bonner,1611661323,Connecticut,Sun,CON,sun,sun,0,0,Y,Guard-Forward,6-4,140,15,1987-08-21T00:00:00,USA,Auburn
1628882,"Brown, Lexie",Lexie Brown,1,2018,2025,lexie_brown,lexie_brown,1611661320,Los Angeles,Sparks,LAS,sparks,sparks,0,0,Y,Guard,5-9,162,7,1994-10-27T00:00:00,USA,Duke
1630996,"Burrell, Rae",Rae Burrell,1,2022,2025,rae_burrell,rae_burrell,1611661320,Los Angeles,Sparks,LAS,sparks,sparks,0,0,Y,Guard-Forward,6-2,168,3,2000-06-21T00:00:00,USA,Tennessee
1631007,"Burton, Veronica",Veronica Burton,1,2022,2025,veronica_burton,veronica_burton,1611661321,Dallas,Wings,DAL,wings,wings,0,0,Y,Guard,5-9,155,3,2000-07-12T00:00:00,USA,Northwestern
1630471,"Caldwell, Maya",Maya Caldwell,1,2022,2025,maya_caldwell,maya_caldwell,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Guard,5-11,160,3,1998-12-15T00:00:00,USA,Georgia
1628886,"Canada, Jordin",Jordin Canada,1,2018,2025,jordin_canada,jordin_canada,1611661320,Los Angeles,Sparks,LAS,sparks,sparks,0,0,Y,Guard,5-6,135,7,1995-08-11T00:00:00,USA,UCLA
1628242,"Cannon, Emma",Emma Cannon,1,2017,2025,emma_cannon,emma_cannon,1611661325,Indiana,Fever,IND,fever,fever,0,0,Y,Forward,6-2,190,6,1989-06-01T00:00:00,USA,Florida Southern
1629524,"Carleton, Bridget",Bridget Carleton,1,2019,2025,bridget_carleton,bridget_carleton,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Forward,6-2,177,6,1997-05-22T00:00:00,Canada,Iowa State
1630096,"Carrington, DiJonai",DiJonai Carrington,1,2021,2025,dijonai_carrington,dijonai_carrington,1611661323,Connecticut,Sun,CON,sun,sun,0,0,Y,Guard-Forward,5-11,175,4,1998-01-08T00:00:00,USA,Baylor
1630150,"Carter, Chennedy",Chennedy Carter,1,2020,2024,chennedy_carter,chennedy_carter,1611661320,Los Angeles,Sparks,LAS,sparks,sparks,0,0,Y,Guard,5-9,143,5,1998-11-14T00:00:00,USA,Texas A&M
1630097,"Charles, Kaila",Kaila Charles,1,2020,2025,kaila_charles,kaila_charles,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Guard-Forward,6-1,168,4,1998-03-23T00:00:00,USA,Maryland
202250,"Charles, Tina",Tina Charles,1,2010,2025,tina_charles,tina_charles,1611661328,Seattle,Storm,SEA,storm,storm,0,0,Y,Center,6-4,192,13,1988-12-05T00:00:00,USA,Connecticut
202252,"Clark, Alysha",Alysha Clark,1,2012,2025,alysha_clark,alysha_clark,1611661322,Washington,Mystics,WAS,mystics,mystics,0,0,Y,Forward,5-11,167,12,1987-07-07T00:00:00,USA,Middle Tennessee
204333,"Cloud, Natasha",Natasha Cloud,1,2015,2025,natasha_cloud,natasha_cloud,1611661322,Washington,Mystics,WAS,mystics,mystics,0,0,Y,Guard,5-10,160,9,1992-02-22T00:00:00,USA,St. Joseph's (PA)
1631002,"Clouden, Nia",Nia Clouden,1,2022,2023,nia_clouden,nia_clouden,1611661323,Connecticut,Sun,CON,sun,sun,0,0,Y,Guard,5-9,139,3,2000-05-17T00:00:00,USA,Michigan State
1628269,"Coffey, Nia",Nia Coffey,1,2017,2025,nia_coffey,nia_coffey,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Forward,6-1,182,8,1995-06-11T00:00:00,USA,Northwestern
