PERSON_ID,DISPLAY_LAST_COMMA_FIRST,PLAYER_NAME,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,IS_NBA_ASSIGNED,NBA_ASSIGNED_TEAM_ID,GAMES_PLAYED_FLAG,POSITION,HEIGHT,WEIGHT,SEASON_EXP,BIRTHDATE,COUNTRY,SCHOOL
203831,"Achonwa, Natalie",Natalie Achonwa,1,2015,2023,natalie_achonwa,natalie_achonwa,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Forward,6-3,198,9,1992-11-22T00:00:00,Canada,Notre Dame
1628263,"Allen, Lindsay",Lindsay Allen,1,2017,2025,lindsay_allen,lindsay_allen,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Guard,5-8,145,7,1995-03-20T00:00:00,USA,Notre Dame
204296,"Allen, Rebecca",Rebecca Allen,1,2015,2025,rebecca_allen,rebecca_allen,1611661323,Connecticut,Sun,CON,sun,sun,0,0,Y,Forward-Guard,6-2,162,9,1992-11-06T00:00:00,Australia,Melbourne
1641656,"Amihere, Laeticia",Laeticia Amihere,1,2023,2025,laeticia_amihere,laeticia_amihere,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Forward,6-3,185,2,2001-07-10T00:00:00,Canada,South Carolina
1628878,"Atkins, Ariel",Ariel Atkins,1,2018,2025,ariel_atkins,ariel_atkins,1611661322,Washington,Mystics,WAS,mystics,mystics,0,0,Y,Guard,5-10,167,7,1996-07-30T00:00:00,USA,University of Texas at Austin
1631022,"Austin, Shakira",Shakira Austin,1,2022,2025,shakira_austin,shakira_austin,1611661322,Washington,Mystics,WAS,mystics,mystics,0,0,Y,Forward-Center,6-5,190,3,2000-07-25T00:00:00,USA,Mississippi
1627671,"Banham, Rachel",Rachel Banham,1,2016,2025,rachel_banham,rachel_banham,1611661324,Minnesota,Lynx,MIN,lynx,lynx,0,0,Y,Guard,5-10,181,9,1993-07-15T00:00:00,USA,Minnesota
1631006,"Bell, Kierstan",Kierstan Bell,1,2022,2025,kierstan_bell,kierstan_bell,1611661319,Las Vegas,Aces,LVA,aces,aces,0,0,Y,Forward,6-1,176,3,2000-03-16T00:00:00,USA,Florida Gulf Coast
1641658,"Berger, Grace",Grace Berger,1,2023,2025,grace_berger,grace_berger,1611661325,Indiana,Fever,IND,fever,fever,0,0,Y,Guard,5-11,163,2,1999-06-03T00:00:00,USA,Indiana
1629571,"Bertsch, Morgan",Morgan Bertsch,1,2023,2024,morgan_bertsch,morgan_bertsch,1611661329,Chicago,Sky,CHI,sky,sky,0,0,Y,Forward,6-4,173,3,1997-04-20T00:00:00,USA,Cal-Davis
1628881,"Billings, Monique",Monique Billings,1,2018,2025,monique_billings,monique_billings,1611661330,Atlanta,Dream,ATL,dream,dream,0,0,Y,Forward,6-4,192,7,1996-05-02T00:00:00,USA,UCLA
201886,"Bonner, DeWanna",DeWanna Bonner,1,2009,2025,dewanna_bonner,dewanna_bonner,1611661323,Connecticut,Sun,CON,sun,sun,0,0,Y,Guard-Forward,6-4,140,15,1987-08-21T00:00:00,USA,Auburn
1641648,"Boston, Aliyah",Aliyah Boston,1,2023,2025,tmp_aliyah_boston,aliyah_boston,1611661325,Indiana,Fever,IND,fever,fever,0,0,Y,Center-Forward,6-5,220,2,2001-12-11T00:00:00,USA,South Carolina
1629480,"Brown, Kalani",Kalani Brown,1,2019,2025,kalani_brown,kalani_brown,1611661321,Dallas,Wings,DAL,wings,wings,0,0,Y,Center,6-7,245,5,1997-03-21T00:00:00,USA,Baylor
1641665,"Brown, Leigha",Leigha Brown,1,2023,2023,leigha_brown,leigha_brown,1611661323,Connecticut,Sun,CON,sun,sun,0,0,Y,Guard,6-1,165,2,2000-07-14T00:00:00,USA,Michigan
1628882,"Brown, Lexie",Lexie Brown,1,2018,2025,lexie_brown,lexie_brown,1611661320,Los Angeles,Sparks,LAS,sparks,sparks,0,0,Y,Guard,5-9,162,7,1994-10-27T00:00:00,USA,Duke
